wl,n
0.95,3.3688447353
1.041,3.2988050172
1.131,3.2545396602
1.222,3.2237062626
1.312,3.2015809389
1.403,3.1847050947
1.493,3.1717333894
1.584,3.1612897418
1.674,3.1529013269
1.765,3.1458961075
1.855,3.1400914995
1.946,3.1351117528
2.036,3.1308866155
2.127,3.1271847339
2.217,3.1239836167
2.308,3.1211300901
2.398,3.1186231041
2.489,3.116355287
2.579,3.1143354062
2.67,3.112484611
2.76,3.1108160676
2.851,3.1092695612
2.941,3.1078600488
3.032,3.1065399723
3.122,3.1053248117
3.213,3.1041758778
3.303,3.1031085702
3.394,3.1020905737
3.484,3.1011369415
3.575,3.1002200337
3.665,3.0993544638
3.756,3.0985160778
3.846,3.0977190435
3.937,3.0969418387
4.027,3.096198223
4.118,3.0954686793
4.208,3.0947666159
4.299,3.0940740515
4.389,3.0934041068
4.48,3.0927399794
4.57,3.0920945659
4.661,3.0914519666
4.751,3.090824915
4.842,3.0901981972
4.932,3.0895844398
5.023,3.0889689423
5.113,3.0883642759
5.204,3.0877561146
5.294,3.0871570203
5.385,3.0865529287
5.475,3.0859564343
5.566,3.0853536413
5.656,3.084757214
5.747,3.0841533482
5.837,3.0835548113
5.928,3.0829478256
6.018,3.0823452925
6.109,3.0817334054
6.199,3.081125227
6.29,3.0805068745
6.38,3.079891597
6.471,3.0792653947
6.561,3.0786417259
6.652,3.078006438
6.742,3.0773732193
6.833,3.0767277333
6.923,3.0760839174
7.014,3.075427223
7.104,3.074771855
7.195,3.0741030275
7.285,3.0734352294
7.376,3.0727534149
7.466,3.0720723728
7.557,3.0713767764
7.647,3.0706817297
7.738,3.0699716056
7.828,3.0692618375
7.919,3.0685364803
8.009,3.0678113101
8.1,3.0670700474
8.19,3.0663288244
8.281,3.0655710107
8.371,3.0648131077
8.462,3.064038119
8.552,3.0632629276
8.643,3.0624701568
8.733,3.0616770833
8.824,3.0608659357
8.914,3.060054397
9.005,3.0592242872
9.095,3.0583937075
9.186,3.057544056
9.276,3.0566938639
9.367,3.055824094
9.457,3.0549537199
9.548,3.0540632554
9.638,3.0531721286
9.729,3.0522603914
9.819,3.0513479383
9.91,3.0504143462
10,3.0494799882
